SiteName,StationName,SampleDate_D,SampleTypeCode,SampleMatrix,SampleTop,SampleBottom,DepthUnits,DuplicateSample,Extracted,FieldSampleID,LabSampleID,AltSampleID,CoolerID,Sampler,Description,WeightVolume,SampleMethodCode,LogCode,COCNumber,DeliveryGroup,AmbientBlankLot,EquipmentBlankLot,TripBlankLot,FilteredSample,QCSequenceID,QCSampleCode,TaskNumber,PrimarySample,SampleResult,ParameterName,CASNumber,AltParamNumber,Superseded,AnalyticMethod,Value,ReportingUnits,FlagCode,ProblemCode,ValidationCode,DetectedResult,Detect,LimitType,Detect2,LimitType2,Detect3,LimitType3,SpikeAmount,RetentionTime,Error,DilutionFactor,Basis,FilteredAnalysis,LeachMethod,PrepMethod,PreparationLot,ReportableResult,AnalDate_D,ExtractDate_D,LabReportDate_D,LabRecvDate_D,Lab,LabComments,AnalysisLabID,AnalyticalBatch,ValueCode,RunCode,QCAnalysisCode,AnalysisGroup
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"1,4-Dioxane",123-91-1,,0,SW846 8270D BY SIM,0.105,ug/l,vj,z,z,y,0.11,RL,0.054,MDL,,,,2.21,,1,n,TOT,,SW846 3510C,OP15629A,,10/16/2018,10/5/2018,10/19/2018,9/28/2018,ACTD,,SJ24115191,OP15629A,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,Terphenyl-d14,1718-51-0,,0,SW846 8270D BY SIM,57,%,v,z,z,y,,,,,,,,11.12,,1,n,TOT,,SW846 3510C,OP15629A,,10/16/2018,10/5/2018,10/19/2018,9/28/2018,ACTD,,SJ24115191,OP15629A,O,OR,SUR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,2-Fluorobiphenyl,321-60-8,,0,SW846 8270D BY SIM,80,%,v,z,z,y,,,,,,,,7.42,,1,n,TOT,,SW846 3510C,OP15629A,,10/16/2018,10/5/2018,10/19/2018,9/28/2018,ACTD,,SJ24115191,OP15629A,O,OR,SUR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,Nitrobenzene-d5,4165-60-0,,0,SW846 8270D BY SIM,96,%,v,z,z,y,,,,,,,,5.66,,1,n,TOT,,SW846 3510C,OP15629A,,10/16/2018,10/5/2018,10/19/2018,9/28/2018,ACTD,,SJ24115191,OP15629A,O,OR,SUR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,Total Alkanes,,,0,SW846 8260C,0,ug/l,v,z,z,y,,,,,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076315,V2B7356,O,OR,TIC,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"Total TIC, Volatile",,,0,SW846 8260C,0,ug/l,v,z,z,y,,,,,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076315,V2B7356,O,OR,TIC,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"1,2-Dibromo-3-chloropropane",96-12-8,,0,SW846-8011,0.02,ug/l,u,z,z,n,0.02,RL,0.0088,MDL,,,,,,1,n,TOT,,SW846 8011,OP15605,,10/4/2018,10/4/2018,10/19/2018,9/28/2018,ACTD,,SJ24095022,OP15605,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"1,2-Dibromoethane",106-93-4,,0,SW846-8011,0.02,ug/l,u,z,z,n,0.02,RL,0.0054,MDL,,,,,,1,n,TOT,,SW846 8011,OP15605,,10/4/2018,10/4/2018,10/19/2018,9/28/2018,ACTD,,SJ24095022,OP15605,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,2-Bromo-1-chloropropane,3017-95-6,,0,SW846-8011,113,%,v,z,z,y,,,,,,,,2.52,,1,n,TOT,,SW846 8011,OP15605,,10/4/2018,10/4/2018,10/19/2018,9/28/2018,ACTD,,SJ24095022,OP15605,O,1C,SUR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,Y,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,2-Bromo-1-chloropropane,3017-95-6,,0,SW846-8011,109,%,v,z,z,y,,,,,,,,2.92,,1,n,TOT,,SW846 8011,OP15605,,10/4/2018,10/4/2018,10/19/2018,9/28/2018,ACTD,,SJ24095022,OP15605,O,2C,SUR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,Xylenes (Total),1330-20-7,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.59,MDL,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076314,V2B7356,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"cis-1,2-Dichloroethene",156-59-2,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.51,MDL,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076314,V2B7356,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"trans-1,2-Dichloroethene",156-60-5,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.54,MDL,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076314,V2B7356,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,Methyl tert-butyl ether,1634-04-4,,0,SW846 8260C,1,ug/l,u,z,z,n,1,RL,0.51,MDL,,,,,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076314,V2B7356,O,OR,TAR,
"Montclair Department of Utilities, 54 Watchung Ave",MW-4,9/28/2018,z,Water,0,0,ft,0,N,MW-4,JC74823-1,,,CW,,,z,,,JC74823,,,,TOT,,NQ,,,,"1,2-Dichloroethane-D4",17060-07-0,,0,SW846 8260C,106,%,v,z,z,y,,,,,,,,11.18,,1,n,TOT,,,MS29676,,10/4/2018,,10/19/2018,9/28/2018,ACTD,,SJ24076314,V2B7356,O,OR,SUR,
