,address,capacity,cross_street,lat,lon,name,post_code,rental_methods,station_id
41,Sherbourne St / Wellesley St E,31,,43.6673,-79.374,Sherbourne St / Wellesley St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7042
42,Queens Quay W / Lower Simcoe St,19,,43.63951,-79.383717,Queens Quay W / Lower Simcoe St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7043
43,Church St / Alexander St,15,,43.663722,-79.380288,Church St / Alexander St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7044
44,Bond St / Queen St E,25,,43.653236,-79.376716,Bond St / Queen St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7045
45,Niagara St / Richmond St W,15,,43.64534,-79.409597,Niagara St / Richmond St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7046
46,University Ave / Gerrard St W,25,,43.657763,-79.389165,University Ave / Gerrard St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7047
47,Front St W / Yonge St (Hockey Hall of Fame),47,,43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7048
48,Queen St W / Portland St,11,,43.6476,-79.4015,Queen St W / Portland St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7049
49,Richmond St E / Jarvis St Green P,11,,43.652634,-79.374222,Richmond St E / Jarvis St Green P,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7050
50,Wellesley St E / Yonge St (Green P),17,,43.66506,-79.38357,Wellesley St E / Yonge St (Green P),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7051
51,Wellington St W / Bay St,27,,43.647259,-79.379878,Wellington St W / Bay St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7052
52,Metro Hall Plaza,27,,43.645859,-79.38783,Metro Hall Plaza,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7053
53,Navy Wharf Ct. / Bremner Blvd.,11,,43.640722,-79.391051,Navy Wharf Ct. / Bremner Blvd.,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7054
54,Jarvis St / Carlton St,15,,43.66207,-79.37617,Jarvis St / Carlton St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7055
55,Parliament St / Gerrard St,26,,43.661149,-79.366648,Parliament St / Gerrard St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7056
56,Simcoe St / Wellington St W,31,,43.645533,-79.3854,Simcoe St / Wellington St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7057
57,Huron/ Harbord St,19,,43.6637,-79.400053,Huron/ Harbord St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7058
58,Front St W / Blue Jays Way,15,,43.643473,-79.390477,Front St W / Blue Jays Way,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7059
59,Princess St / Adelaide St E,19,,43.652123,-79.367139,Princess St / Adelaide St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7060
60,Bloor St / Brunswick Ave,25,,43.665802,-79.40731,Bloor St / Brunswick Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7061
61,University Ave / College St,11,,43.659226,-79.390213,University Ave / College St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7062
62,Queen's Park / Bloor St W,19,,43.668456,-79.393899,Queen's Park / Bloor St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7063
63,51 Parliament St,19,,43.65205,-79.362198,51 Parliament St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7064
64,Dundas St E / Parliament St,15,,43.659575,-79.365769,Dundas St E / Parliament St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7065
65,Willcocks St / St. George St,17,,43.662085,-79.397735,Willcocks St / St. George St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7066
66,Yonge St / Harbour St,39,,43.643795,-79.375413,Yonge St / Harbour St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7067
67,Dockside Dr / Queens Quay E (Sugar Beach),27,,43.644607,-79.366295,Dockside Dr / Queens Quay E (Sugar Beach),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7068
68,Queen St W / Spadina Ave,11,,43.649147,-79.395504,Queen St W / Spadina Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7069
69,25 York St (ACC/Union Station South),11,,43.643667,-79.380414,25 York St (ACC/Union Station South),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7070
70,161 Bleecker St (South of Wellesley),11,,43.666233,-79.373327,161 Bleecker St (South of Wellesley),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7071
71,Queen St W / Shaw St,19,,43.644524,-79.416519,Queen St W / Shaw St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7072
72,Spadina Ave / Bremner Blvd,15,,43.640114,-79.393249,Spadina Ave / Bremner Blvd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7073
73,Spadina Ave / Sussex Ave,27,,43.664137,-79.402496,Spadina Ave / Sussex Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7074
74,Queens Quay W / Dan Leckie Way,26,,43.636533,-79.395854,Queens Quay W / Dan Leckie Way,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7075
75,York St / Queens Quay W,27,,43.640132,-79.380464,York St / Queens Quay W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7076
76,College Park South,19,,43.659777,-79.382767,College Park South,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7077
77,College St / Major St,11,,43.6576,-79.4032,College St / Major St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7078
78,McGill St / Church St,19,,43.660694,-79.379052,McGill St / Church St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7079
79,Danforth Ave / Barrington Ave,15,,43.688325,-79.300463,Danforth Ave / Barrington Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7083
80,Stephenson Ave / Main St,15,,43.68704,-79.301915,Stephenson Ave / Main St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7084
81,Danforth Ave / Westlake Ave,15,,43.687323,-79.304848,Danforth Ave / Westlake Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7085
82,Woodbine Subway Green P (Cedarvale Ave),19,,43.686829,-79.311073,Woodbine Subway Green P (Cedarvale Ave),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7086
83,Danforth Ave / Aldridge Ave,11,,43.684758,-79.316767,Danforth Ave / Aldridge Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7087
84,Danforth Ave / Coxwell Ave,15,,43.683378,-79.322961,Danforth Ave / Coxwell Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7088
85,Church St / Wood St,19,,43.662712,-79.379903,Church St  / Wood St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7089
86,Danforth Ave / Lamb Ave,15,,43.681991,-79.329455,Danforth Ave / Lamb Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7090
87,Donlands Station,11,,43.681126,-79.337779,Donlands Station,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7091
88,Pape Subway Green P,15,,43.680223,-79.344062,Pape Subway Green P,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7092
89,Danforth Ave / Gough Ave,17,,43.678401,-79.346289,Danforth Ave / Gough Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7093
90,Chester Station,11,,43.678056,-79.352222,Chester Station,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7094
91,Danforth Ave / Ellerbeck St,14,,43.677076,-79.35667,Danforth Ave / Ellerbeck St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7095
92,Boston Ave / Queen St E,19,,43.661508,-79.338931,Boston Ave / Queen St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7096
93,Riverdale Park North (Broadview Ave),15,,43.671172,-79.354704,Riverdale Park North (Broadview Ave),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7097
94,Riverdale Park South (Broadview Ave),15,,43.667819,-79.35347,Riverdale Park South (Broadview Ave),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7098
95,Cherry St / Mill St,15,,43.651248,-79.357848,Cherry St / Mill St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7099
96,Dundas St E / Regent Park Blvd,19,,43.660207,-79.361275,Dundas St E / Regent Park Blvd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7100
97,Lower Sherbourne St / The Esplanade,27,,43.648655,-79.367061,Lower Sherbourne St / The Esplanade,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7101
98,Nelson St / Duncan St,31,,43.648711,-79.389728,Nelson St / Duncan St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7102
99,Jimmie Simpson Park (Queen St E),11,,43.660362,-79.343801,Jimmie Simpson Park (Queen St E),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7103
100,King St E / River St,15,,43.657071,-79.356598,King St E / River St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7104
101,Queen St E / Sackville St,15,,43.6561111,-79.3613888889,Queen St E / Sackville St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7105
102,Mill St / Tannery Rd,15,,43.652219,-79.354455,Mill St / Tannery Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7106
103,Cherry St / Distillery Ln,15,,43.650279,-79.356832,Cherry St / Distillery Ln,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7107
104,Front St E / Cherry St,15,,43.652686,-79.358395,Front St E / Cherry St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7108
105,Seaton St / Dundas St E,11,,43.658777,-79.369596,Seaton St / Dundas St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7109
106,Queen St E / Berkeley St,15,,43.6552778,-79.3658333333,Queen St E / Berkeley St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7110
107,King St W / Douro St,11,,43.640885,-79.416379,King St W / Douro St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7111
108,Liberty St / Fraser Ave Green P,19,,43.637981,-79.424146,Liberty St / Fraser Ave Green P,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7112
109,Parliament St / Aberdeen Ave,15,,43.665278,-79.368333,Parliament St / Aberdeen Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7113
110,Carlton St / Parliament St,15,,43.664524,-79.36793,Carlton St / Parliament St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7114
111,Howard St / Sherbourne St,15,,43.6712581,-79.376367,Howard St / Sherbourne St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7115
112,Parliament St / Bloor St E,15,,43.671827,-79.371849,Parliament St / Bloor St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7116
113,Castle Frank Station,15,,43.674083,-79.368579,Castle Frank Station,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7117
114,King St W / Bay St (East Side),19,,43.648575,-79.380042,King St W / Bay St (East Side),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7118
115,Sumach St / Carlton St (Riverdale Farm),15,,43.665867,-79.362506,Sumach St / Carlton St. (Riverdale Farm),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7119
116,Gerrard St E / River St,11,,43.663993,-79.358534,Gerrard St E / River St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7120
117,Jarvis St / Dundas St E,15,,43.657266,-79.374756,Jarvis St / Dundas St E,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7121
118,Niagara St / Tecumseth St,15,,43.641389,-79.404444,Niagara St / Tecumseth St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7122
119,424 Wellington St W,15,,43.643834,-79.396649,424 Wellington St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7123
120,Dundas St E / Broadview Ave,19,,43.662365,-79.351104,Dundas St E / Broadview Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7124
121,Yonge St / Yorkville Ave,17,,43.671944,-79.387778,Yonge St / Yorkville Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7126
122,Bay St / Davenport Rd,15,,43.672829,-79.390592,Bay St / Davenport Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7127
123,Yonge St / Aylmer Ave,15,,43.675492,-79.388858,Yonge St / Aylmer Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7128
124,Davenport Rd / Avenue Rd,11,,43.674991,-79.396273,Davenport Rd / Avenue Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7129
125,Pears Av / Avenue Rd,11,,43.675481,-79.397359,Pears Av / Avenue Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7130
126,Taddle Creek Park,15,,43.66986,-79.398443,Taddle Creek Park,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7131
127,Kendal Ave / Spadina Rd,9,,43.670318,-79.405181,Kendal Ave / Spadina Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7132
128,Summerhill Station,11,,43.681944,-79.390556,Summerhill Station,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7133
129,Marlborough Ave / Yonge St,23,,43.68,-79.391111,Marlborough Ave / Yonge St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7134
130,Hanna Ave / Liberty St,15,,43.638333,-79.419722,Hanna Ave / Liberty St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7135
131,Queen St W / Close Ave,23,,43.640634,-79.435841,Queen St W / Close Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7136
132,Davenport Rd / Bathurst St,15,,43.676667,-79.416111,Davenport Rd / Bathurst St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7137
133,Davenport Rd / Christie St,15,,43.675278,-79.423889,Davenport Rd / Christie St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7138
134,Glen Edyth Dr / Davenport Rd,15,,43.677778,-79.405556,Glen Edyth Dr / Davenport Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7139
135,Macpherson Ave / Spadina Rd,15,,43.675791,-79.40698,Macpherson Ave / Spadina Rd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7140
136,Bridgeman Ave / Kendal Ave,15,,43.675556,-79.410278,Bridgeman Ave / Kendal Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7141
137,Bridgeman Ave / Bathurst St,15,,43.674444,-79.414722,Bridgeman Ave / Bathurst St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7142
138,Kendal Ave / Bernard Ave,15,,43.671513,-79.408317,Kendal Ave / Bernard Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7143
139,Palmerston Ave / Vermont Ave,15,,43.671389,-79.416389,Palmerston Ave / Vermont Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7144
140,Christie St / Benson Ave (Wychwood Barns),18,,43.68,-79.425,Christie St / Benson Ave (Wychwood Barns),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7146
141,King St W / Fraser Ave,15,,43.6394444,-79.4252777778,King St W / Fraser Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7147
142,King St W / Joe Shuster Way,15,,43.639444,-79.423611,King St W / Joe Shuster Way,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7148
143,Yarmouth Rd / Christie St,11,,43.67,-79.4208333333,Yarmouth Rd / Christie St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7149
144,Dufferin St / Sylvan Av (Dufferin Grove Park),19,,43.6555556,-79.4336111111,Dufferin St / Sylvan Av (Dufferin Grove Park),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7150
145,Essex St / Christie St,19,,43.6686111,-79.4202777778,Essex St / Christie St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7151
146,Ossington Ave / Bloor St W,11,,43.661705,-79.425734,Ossington Ave / Bloor St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7152
147,Bloor St W / Christie St,19,,43.6638889,-79.4188888889,Bloor St W / Christie St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7153
148,Bathurst Subway Station,23,,43.6666667,-79.4116666667,Bathurst Subway Station,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7154
149,Bathurst St / Lennox St,19,,43.663808,-79.410491,Bathurst St / Lennox St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7155
150,Salem Ave / Bloor St W,15,,43.6608333,-79.4316666667,Salem Ave / Bloor St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7156
151,Dufferin St / Bloor St,15,,43.6608333333,-79.4358333333,Dufferin St / Bloor St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7157
152,King St W / Stafford St,15,,43.6422222,-79.4111111111,King St W / Stafford St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7158
153,King St W / Tecumseth St,15,,43.6433333333,-79.4055555556,King St W / Tecumseth St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7160
154,Beverly St / College St,23,,43.6575,-79.3952777778,Beverly St / College St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7161
155,Hayter St / Laplante Ave,15,,43.6591666667,-79.3855555556,Hayter St / Laplante Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7162
156,Yonge St / Wood St,15,,43.6622222,-79.3825,Yonge St / Wood St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7163
157,Victoria St / Gould St (Ryerson University),19,,43.657189,-79.379953,Victoria St / Gould St (Ryerson University),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7164
158,Queen St E / George St (Moss Park),17,,43.6544444,-79.3711111111,Queen St E / George St (Moss Park),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7167
159,Queens Quay / Yonge St,15,,43.641646,-79.375308,Queens Quay / Yonge St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7168
160,Front St W / Bay St (North Side),11,,43.646162,-79.378912,Front St W / Bay St (North Side),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7169
161,Spadina Ave / Willcocks St,15,,43.6616667,-79.4013888889,Spadina Ave / Willcocks St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7170
162,Ontario Place Blvd / Remembrance Dr,27,,43.632999,-79.408671,Ontario Place Blvd / Remembrance Dr,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7171
163,Strachan Ave / Princes' Blvd,19,,43.635,-79.4088888889,Strachan Ave / Princes' Blvd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7172
164,Cariboo St / Rail Path,19,,43.66666667,-79.4583333333,Cariboo St / Rail Path,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7173
165,Bloor St W / Dundas St W,15,,43.6563889,-79.4516666667,Bloor St W / Dundas St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7174
166,HTO Park (Queens Quay W),27,,43.63796,-79.387502,HTO Park (Queens Quay W),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7175
167,Bathurst St / Fort York Blvd,19,,43.639179,-79.399595,Bathurst St / Fort York Blvd,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7176
168,East Liberty St / Pirandello St,19,,43.6386111111,-79.4147222222,East Liberty St / Pirandello St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7177
169,Dundas St W / Edna Ave,15,,43.657192,-79.452559,Dundas St W / Edna Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7178
170,Bloor GO / UP Station (West Toronto Railpath),19,,43.6575,-79.4502777778,Bloor GO / UP Station (West Toronto Railpath),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7179
171,Lansdowne Subway Green P,23,,43.6591666667,-79.4427777778,Lansdowne Subway Green P,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7180
172,Lansdowne Ave / Whytock Ave,15,,43.6538888889,-79.4413888889,Lansdowne Ave / Whytock Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7181
173,Sterling Rd / Dundas St W,19,,43.6508333333,-79.4430555556,Sterling Rd / Dundas St W,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7182
174,Margueretta St / College St,15,,43.6513888889,-79.4377777778,Margueretta St / College St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7183
175,Ossington Ave / College St,11,,43.6544915,-79.422634,Ossington Ave / College St,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7184
176,Exhibition GO (Atlantic Ave),23,,43.6366666667,-79.4197222222,Exhibition GO (Atlantic Ave),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7188
177,Augusta Ave / Denison Sq,15,,43.65375,-79.401753,Augusta Ave / Denison Sq,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7189
178,St. George St / Hoskin Ave,15,,43.664059,-79.398334,St. George St / Hoskin Ave,,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7190
179,Central Tech (Harbord St),11,,43.661975,-79.407896,Central Tech  (Harbord St),,"[KEY, CREDITCARD, TRANSITCARD, PHONE]",7191
